x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
0.127599,0.01622019,-0.2251741,0.3489011,-0.4259748,0.2308537,0.3300197,-0.4409823,-0.2195127,0.1062119,0.01112978,0.2253691,0,0.5,-0.225496,0,0.5,0.225496
0.2602857,0.07311849,-0.2254586,0.4954831,-0.366646,0.2267204,0.4707825,-0.3805377,-0.2233496,0.2739033,0.08155181,0.2252377,0,0.5,-0.225496,0,0.5,0.225496
0.3136946,0.1105992,-0.2246248,0.5680984,-0.309996,0.2355406,0.5528882,-0.3284206,-0.214789,0.3437152,0.1368041,0.2247571,0,0.5,-0.225496,0,0.5,0.225496
0.2993764,0.09948941,-0.2255543,0.5920587,-0.3054782,0.2255359,0.578,-0.3157487,-0.2250585,0.3074807,0.105585,0.2253726,0,0.5,-0.225496,0,0.5,0.225496
0.213898,0.04798949,-0.2252113,0.5324371,-0.3272971,0.2336974,0.5314395,-0.3382233,-0.2171356,0.1907851,0.03775975,0.2250272,0,0.5,-0.225496,0,0.5,0.225496
0.08852866,0.007858244,-0.2250908,0.3755292,-0.3858427,0.2396776,0.395604,-0.3866081,-0.2109002,0.06276952,0.003844443,0.225164,0,0.5,-0.225496,0,0.5,0.225496
-0.007509573,-0.0002022274,-0.2254449,0.1371611,-0.474115,0.2298632,0.1786705,-0.4643061,-0.2191697,-0.02045711,0.0003015603,0.2253296,0,0.5,-0.225496,0,0.5,0.225496
-0.03670503,0.001099487,-0.2256856,-0.149643,-0.4866319,0.223417,-0.1047646,-0.494314,-0.2253473,-0.03882691,0.001066448,0.2253264,0,0.5,-0.225496,0,0.5,0.225496
-0.06709063,0.00449379,-0.225421,-0.376853,-0.3962694,0.2181761,-0.3609146,-0.4000705,-0.2324608,-0.08092941,0.006565327,0.2254225,0,0.5,-0.225496,0,0.5,0.225496
-0.1459998,0.02163494,-0.2252228,-0.5199186,-0.3220764,0.2163925,-0.5246017,-0.304895,-0.2342111,-0.1616222,0.02656537,0.2253925,0,0.5,-0.225496,0,0.5,0.225496
-0.2341468,0.05794427,-0.2255127,-0.5841734,-0.3018973,0.222637,-0.6024489,-0.2803966,-0.2274897,-0.2406391,0.06155118,0.2253946,0,0.5,-0.225496,0,0.5,0.225496
-0.2960874,0.09716937,-0.2252597,-0.5660701,-0.3242299,0.2252383,-0.5837166,-0.3119113,-0.2252651,-0.2775536,0.08401458,0.2251227,0,0.5,-0.225496,0,0.5,0.225496
-0.2818284,0.08695415,-0.2250545,-0.473212,-0.3796338,0.2210933,-0.4842762,-0.370295,-0.2296735,-0.2586883,0.07195619,0.2250986,0,0.5,-0.225496,0,0.5,0.225496
-0.1724096,0.03051781,-0.2254492,-0.3200506,-0.4471518,0.2254183,-0.3278144,-0.4446191,-0.2254488,-0.1728471,0.03076816,0.2255316,0,0.5,-0.225496,0,0.5,0.225496
-0.004879969,-0.0001481148,-0.2252357,-0.1170235,-0.4916155,0.2209668,-0.1157796,-0.487714,-0.2300067,-0.02921013,0.0006115715,0.2251802,0,0.5,-0.225496,0,0.5,0.225496
0.1247135,0.01572874,-0.2253241,0.1178378,-0.4883468,0.2211064,0.1346728,-0.484173,-0.2295933,0.1074063,0.01150775,0.2252798,0,0.5,-0.225496,0,0.5,0.225496
